"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","Rev","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"174FL.25-1.25",="17-4 SS Flat Bar 1/4"" x 1-1/4""","865.454","865.454","LB","1,254.960","1254.96","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="17425125",="174FL25125","","","",""
"174FL.25-3",="17-4 SS Flat Bar 1/4"" x 3""","506.000","506","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="174253",="174FL253","","","",""
"174FL.375-.75",="17-4 SS Flat Bar 3/8"" x 3/4""","416.510","416.51","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="17437575",="174FL37575","","","",""
"174FL.375-1",="17-4 SS Flat Bar 3/8"" x 1""","440.000","440","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="1743751",="174FL3751","","","",""
"174FL.375-1.25",="17-4 SS Flat Bar 3/8"" x 1-1/4""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="174375125",="174FL375125","","","",""
"174FL.375-1.5",="17-4 SS Flat Bar 3/8"" x 1-1/2""","608.748","608.748","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="17437515",="174FL37515","","","",""
"174FL.375-2",="17-4 SS Flat Bar 3/8"" x 2""","420.000","420","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="1743752",="174FL3752","","","",""
"174FL.375-3",="17-4 SS Flat Bar 3/8"" x 3""","805.180","805.18","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="1743753",="174FL3753","","","",""
"174FL.5-.75",="17-4 SS Flat Bar 1/2"" x 3/4""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="174575",="174FL575","","","",""
"174FL.5-1",="17-4 SS Flat Bar 1/2""  x 1""","435.000","435","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","S","FL","",,"","Raw Material","R","",="17451",="174FL51","","","",""
